127.0.0.1, 2015-01-09 22:51:31, POST, /webapp/default/user/register, HTTP/1.1, 303, 0.134375
127.0.0.1, 2015-01-09 22:51:31, GET, /webapp/default/index, HTTP/1.1, 200, 0.133197
127.0.0.1, 2015-01-09 22:51:36, GET, /webapp/appadmin/index, HTTP/1.1, 200, 0.171076
127.0.0.1, 2015-01-09 22:51:41, GET, /webapp/appadmin/select/db, HTTP/1.1, 200, 0.207922
127.0.0.1, 2015-01-09 22:51:44, GET, /webapp/appadmin/update/db/userTeam/1, HTTP/1.1, 200, 0.164966
127.0.0.1, 2015-01-09 22:51:48, POST, /webapp/appadmin/update/db/userTeam/1, HTTP/1.1, 303, 0.095479
127.0.0.1, 2015-01-09 22:51:48, GET, /webapp/appadmin/select/db, HTTP/1.1, 200, 0.144870
127.0.0.1, 2015-01-09 22:51:59, GET, /webapp/appadmin/index, HTTP/1.1, 200, 0.141785
127.0.0.1, 2015-01-09 22:52:05, GET, /webapp/appadmin/select/db, HTTP/1.1, 200, 0.156087
127.0.0.1, 2015-01-09 22:52:07, GET, /webapp/appadmin/insert/db/auth_user, HTTP/1.1, 200, 0.155996
127.0.0.1, 2015-01-09 22:52:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.033471
127.0.0.1, 2015-01-09 22:52:31, POST, /webapp/appadmin/insert/db/auth_user, HTTP/1.1, 200, 0.241028
127.0.0.1, 2015-01-09 22:52:34, GET, /webapp/appadmin/index, HTTP/1.1, 200, 0.160757
